City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Hermanus,ZA,87.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
12,Georgetown,MY,85.89,few clouds,5.4112,100.3354,Cititel Penang
15,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
19,Bengkulu,ID,78.28,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
20,Rikitea,PF,76.73,overcast clouds,-23.1203,-134.9692,People ThankYou
21,Vaini,TO,79.57,light rain,-21.2,-175.2,Keleti Beach Resort
28,Thohoyandou,ZA,78.57,overcast clouds,-22.9456,30.485,Masili Guesthouse & Conference
36,Fare,PF,79.43,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
37,Caravelas,BR,89.53,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
39,Bitung,ID,77.85,overcast clouds,1.4451,125.1824,K2 Lembeh
42,Shakiso,ET,82.85,overcast clouds,5.75,38.9167,Bealu Girma Hottel
46,Lima,PE,77.9,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
47,East London,ZA,79.74,clear sky,-33.0153,27.9116,Tu Casa
52,Mount Isa,AU,76.77,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
57,Cidreira,BR,79.79,clear sky,-30.1811,-50.2056,Hotel Castelo
60,Atuona,PF,77.63,clear sky,-9.8,-139.0333,Villa Enata
61,Alvorada,BR,80.56,light rain,-12.48,-49.1247,Cristal Plaza Hotel
62,Ambon,ID,84.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
67,Kavaratti,IN,81.41,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
70,Butaritari,KI,81.61,light rain,3.0707,172.7902,Isles Sunset Lodge
84,Bredasdorp,ZA,86.29,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
89,Grand Gaube,MU,83.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
91,Murray Bridge,AU,75.69,light rain,-35.1167,139.2667,Balcony On Sixth Lodge
93,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
106,Pemangkat,ID,78.62,overcast clouds,1.1667,108.9667,Ramah Kost KITA
107,Hambantota,LK,79.95,clear sky,6.1241,81.1185,Bungalow 63
109,Meulaboh,ID,80.74,overcast clouds,4.1363,96.1285,Kost Pria
114,Hithadhoo,MV,82.99,clear sky,-0.6,73.0833,Scoop Guest House
116,Port Alfred,ZA,82.13,broken clouds,-33.5906,26.891,The Halyards Hotel
117,Cairns,AU,81.07,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
119,Port Hedland,AU,84.25,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
129,Pedasi,PA,83.07,overcast clouds,7.5333,-80.0333,Selina Pedasi
135,Eyl,SO,79.61,overcast clouds,7.9803,49.8164,Amiin Hotel
137,Port Augusta,AU,78.24,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
140,Emerald,AU,81.34,few clouds,-23.5333,148.1667,The Irish Village
146,Pangkalanbuun,ID,75.43,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
147,Rio Grande,BR,87.91,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
150,Arraial Do Cabo,BR,87.66,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
151,Hobyo,SO,79.93,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
153,Isangel,VU,76.57,overcast clouds,-19.55,169.2667,Tanna Lodge
159,Chuy,UY,81.36,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
164,Faanui,PF,79.9,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
173,Touros,BR,86.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
175,Cape Town,ZA,81.88,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
177,Deniliquin,AU,75.99,overcast clouds,-35.5333,144.9667,Riviana Motel
178,Puerto Berrio,CO,77.05,overcast clouds,6.4916,-74.4033,Hotel Central
181,Flinders,AU,75.2,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
183,Kathu,TH,86.7,scattered clouds,7.9178,98.3332,Novotel Phuket Resort
193,Kruisfontein,ZA,80.2,light rain,-34.0033,24.7314,Oyster Bay House Rental
199,The Valley,AI,84.06,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
200,Codajas,BR,82.4,overcast clouds,-3.8367,-62.0569,Atlântic Hotel
207,Tsiroanomandidy,MG,83.52,clear sky,-18.7667,46.0333,Hotel Ravinala
211,Paita,PE,75.76,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
212,Cayenne,GF,86.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
213,Mahebourg,MU,83.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
214,Quatre Cocos,MU,83.08,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
218,El Limon,VE,77.85,scattered clouds,10.3059,-67.6321,Campamento Valle Beraca
223,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
228,Luanda,AO,86.0,few clouds,-8.8368,13.2343,Hotel Fórum
229,Pochutla,MX,75.81,clear sky,15.7432,-96.4661,Hotel Posada San Jose
233,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
238,Plettenberg Bay,ZA,78.62,scattered clouds,-34.0527,23.3716,Thanda Vista B&B
240,Bowen,AU,80.76,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
248,Tacuarembo,UY,89.87,clear sky,-31.7333,-55.9833,Complejo San Fructuoso
252,Areka,ET,80.28,overcast clouds,7.0667,37.7,Selam Hotel ሰላም ሆቴል
257,Mumford,GH,84.49,overcast clouds,5.2618,-0.759,Spanish Villa
258,Kulhudhuffushi,MV,81.79,few clouds,6.6221,73.07,Haajy Guest House 1
259,Sabang,ID,82.74,broken clouds,5.8933,95.3214,Hotel Citra
263,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
265,Poum,NC,80.31,overcast clouds,-20.2333,164.0167,Gîte kajeon
267,Samarai,PG,81.3,overcast clouds,-10.6167,150.6667,Nuli Sapi
269,Bombay,IN,76.98,smoke,19.0144,72.8479,Hotel Avon Ruby-Dadar
270,Galle,LK,78.58,scattered clouds,6.0367,80.217,Amangalla
271,Pontal Do Parana,BR,84.72,broken clouds,-25.6533,-48.5128,Eco Hostel Residencial Bananeiras
273,Sai Buri,TH,77.76,broken clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
275,Nauta,PE,84.61,overcast clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
282,Parang,PH,75.38,overcast clouds,7.3704,124.2697,D' Vapors House
291,Vao,NC,78.66,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
294,Hervey Bay,AU,78.91,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
296,Saint-Pierre,RE,85.64,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
297,Buritis,BR,79.09,overcast clouds,-15.6178,-46.4233,Hotel Rainha do Vale
299,Saint-Philippe,RE,85.55,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
307,Phalaborwa,ZA,85.28,scattered clouds,-23.943,31.1411,Bothabelo Bed and Breakfast
320,Yulara,AU,76.84,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
321,Bartica,GY,84.52,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
329,Jardim,BR,80.47,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
335,Sao Gabriel Da Cachoeira,BR,85.8,clear sky,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
336,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
338,Saint-Joseph,RE,84.56,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
340,Lorengau,PG,80.2,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
345,Camocim,BR,86.5,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
359,Jamkhed,IN,77.79,clear sky,18.7362,75.3121,Ugale's Residence
363,Soyo,AO,83.34,light rain,-6.1349,12.3689,Hotel Mpampa
365,Manoel Urbano,BR,81.21,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
369,Bambous Virieux,MU,83.21,light rain,-20.3428,57.7575,Casa Tia Villa
378,Itarema,BR,86.94,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
