City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,64.04,59,77,18.45,broken clouds
1,Lavrentiya,RU,65.5833,-171,-5.22,88,38,8.84,scattered clouds
2,Grand Forks,US,47.9417,-97.4337,8.53,85,75,6.91,broken clouds
3,Hermanus,ZA,-34.4187,19.2345,87.8,60,9,23.69,clear sky
4,Hobart,AU,-42.8794,147.3294,68.11,86,59,0,broken clouds
5,Albany,US,42.6001,-73.9662,16.81,70,21,1.74,few clouds
6,Sayyan,YE,15.1718,44.3244,65.34,35,2,6.89,clear sky
7,Ulaanbaatar,MN,47.9077,106.8832,-18.27,76,0,2.24,clear sky
8,Mar Del Plata,AR,-38.0023,-57.5575,69.1,62,40,3,scattered clouds
9,Hilo,US,19.7297,-155.09,67.62,79,40,6.91,scattered clouds
10,Ushuaia,AR,-54.8,-68.3,49.62,66,75,28.77,broken clouds
11,Punta Arenas,CL,-53.15,-70.9167,51.91,58,100,26.46,light rain
12,Georgetown,MY,5.4112,100.3354,85.89,59,20,0,few clouds
13,Along,IN,28.1667,94.7667,50.68,77,12,0.72,few clouds
14,Jamestown,US,42.097,-79.2353,19.29,89,0,0,clear sky
15,Puerto Ayora,EC,-0.7393,-90.3518,76.96,81,100,4.14,overcast clouds
16,Chokurdakh,RU,70.6333,147.9167,-24.72,97,27,4.36,scattered clouds
17,Porbandar,IN,21.6422,69.6093,73.69,71,0,11.97,clear sky
18,Mataura,NZ,-46.1927,168.8643,60.48,97,50,1.57,scattered clouds
19,Bengkulu,ID,-3.8004,102.2655,78.28,87,100,3.85,overcast clouds
20,Rikitea,PF,-23.1203,-134.9692,76.73,61,100,2.68,overcast clouds
21,Vaini,TO,-21.2,-175.2,79.57,76,100,12.93,light rain
22,Macenta,GN,8.5435,-9.471,96.6,9,70,5.68,broken clouds
23,Coquimbo,CL,-29.9533,-71.3436,65.93,77,75,9.22,broken clouds
24,Torbay,CA,47.6666,-52.7314,37.89,76,75,17.27,broken clouds
25,Norman Wells,CA,65.282,-126.8329,3.24,78,75,14.97,light snow
